L,beta,n,eps_opt,gamma,random_state,Alg
150.0,2,24500,0.1,0.99,362046530,Uniform
150.0,2,25500,0.1,0.99,362046530,Ours
150.0,2,25500,0.1,0.99,362046530,Uniform
150.0,2,26500,0.1,0.99,362046530,Ours
150.0,2,26500,0.1,0.99,362046530,Uniform
150.0,2,27500,0.1,0.99,362046530,Ours
150.0,2,27500,0.1,0.99,362046530,Uniform
150.0,2,28500,0.1,0.99,362046530,Ours
150.0,2,28500,0.1,0.99,362046530,Uniform
150.0,2,29500,0.1,0.99,362046530,Ours
150.0,2,29500,0.1,0.99,362046530,Uniform
150.0,2,30500,0.1,0.99,362046530,Ours
150.0,2,30500,0.1,0.99,362046530,Uniform
150.0,2,31500,0.1,0.99,362046530,Ours
150.0,2,31500,0.1,0.99,362046530,Uniform
150.0,2,32500,0.1,0.99,362046530,Ours
150.0,2,32500,0.1,0.99,362046530,Uniform
150.0,2,33500,0.1,0.99,362046530,Ours
150.0,2,33500,0.1,0.99,362046530,Uniform
150.0,2,34500,0.1,0.99,362046530,Ours
150.0,2,34500,0.1,0.99,362046530,Uniform
150.0,2,35500,0.1,0.99,362046530,Ours
150.0,2,35500,0.1,0.99,362046530,Uniform
150.0,2,36500,0.1,0.99,362046530,Ours
150.0,2,36500,0.1,0.99,362046530,Uniform
150.0,2,37500,0.1,0.99,362046530,Ours
150.0,2,37500,0.1,0.99,362046530,Uniform
150.0,2,38500,0.1,0.99,362046530,Ours
150.0,2,38500,0.1,0.99,362046530,Uniform
150.0,2,39500,0.1,0.99,362046530,Ours
150.0,2,39500,0.1,0.99,362046530,Uniform
150.0,2,40500,0.1,0.99,362046530,Ours
150.0,2,40500,0.1,0.99,362046530,Uniform
150.0,2,41500,0.1,0.99,362046530,Ours
150.0,2,41500,0.1,0.99,362046530,Uniform
150.0,2,42500,0.1,0.99,362046530,Ours
150.0,2,42500,0.1,0.99,362046530,Uniform
150.0,2,43500,0.1,0.99,362046530,Ours
150.0,2,43500,0.1,0.99,362046530,Uniform
150.0,2,44500,0.1,0.99,362046530,Ours
150.0,2,44500,0.1,0.99,362046530,Uniform
150.0,2,45500,0.1,0.99,362046530,Ours
150.0,2,45500,0.1,0.99,362046530,Uniform
150.0,2,46500,0.1,0.99,362046530,Ours
150.0,2,46500,0.1,0.99,362046530,Uniform
150.0,2,47500,0.1,0.99,362046530,Ours
150.0,2,47500,0.1,0.99,362046530,Uniform
